id,total_sales,average_sales,monthly_growth_percent,top_product,best_region,month
1,143773.23,4210.3,-12.91,Headphones,Central,May
4,83267.49,360.57,-14.2,Laptop,West ,September
5,146299.81,4163.45,-2.51,Mobile,East,February
6,144652.26,2651.74,13.1,Headphones,West,February
7,179834.27,3891.44,-0.42,Monitor,North,apr
8,14637.43,1399.4,8.35,Mobile,North,June
10,95850.43,2913.54,-3.49,Mobile, SOUTH,September
11,22961.29,3708.04,31.36,Mobile,West,NOV
12,146235.09,2963.68,0.92,Tablet,West,September
14,157391.92,2014.83,3.94,Tablet,Central,Jan
15,32264.38,3309.26,37.68,Keyboard,East,MAR
16,23844.24,4403.39,11.74,Keyboard,West ,MAR
18,99392.6,507.73,13.01,Tablet,West ,NOV
20,40999.9,1065.11,2.94,Mobile,South,Jan
21,154128.25,465.08,24.66,Mobile,West,apr
25,33936.37,4742.38,2.12,Printer,North,Aug
26,25963.37,1260.98,24.87,Camera,East,May
27,186443.65,2758.95,9.84,Mouse,East,jul
28,39154.72,4994.8,-13.89,Smartwatch,East,June
30,148253.59,4378.16,38.37,Monitor,east,Oct
31,19013.45,917.67,31.07,Smartwatch,East,jul
32,49740.13,2501.94,-9.51,Smartwatch,north ,February
33,6543.11,3672.83,-18.1,Smartwatch,West,apr
35,105411.29,631.21,-5.05,Laptop, SOUTH,Aug
36,41492.62,2638.18,-16.27,Mouse,West ,May
38,45236.24,4634.07,-12.56,Monitor,Central,Aug
39,179690.29,4858.43,-16.11,Headphones,West ,February
41,155702.1,547.3,-1.38,Printer,South,September
42,112583.62,1238.5,-2.19,Keyboard,East,February
43,143739.22,1319.13,4.48,Tablet,east,Oct
44,126907.55,4598.03,-10.15,Camera,East,Oct
46,113590.15,2636.76,27.43,Laptop,Central,Aug
49,16680.0,3487.7,35.12,Headphones, SOUTH,jul
51,152111.7,3901.03,34.0,Tablet,Central,apr
52,87942.15,2823.93,9.76,Headphones, SOUTH,Aug
54,13491.46,879.69,21.18,Headphones, SOUTH,MAR
55,154047.29,1562.22,39.19,Tablet,north ,apr
56,121388.86,4506.09,25.3,Camera,South,May
59,27453.4,4080.63,19.2,Camera,West,Oct
60,29690.96,3215.95,-15.21,Smartwatch,West,Oct
61,125545.49,372.46,0.76,Printer,East,jul
63,114488.63,2093.94,-8.24,Smartwatch,East,February
64,82314.51,942.28,10.06,Keyboard,North,February
67,121908.61,316.83,21.71,Smartwatch,South,February
69,160681.1,3546.97,-5.21,Smartwatch,North,February
71,114684.62,3897.59,19.74,Mouse,North,May
73,105909.05,4185.12,11.05,Printer,East,Aug
74,71422.33,4993.96,28.34,Monitor,South,Jan
75,196755.18,4995.01,-4.19,Mobile,north ,May
77,165847.7,3247.94,-12.22,Camera,South,MAR
78,76377.22,3705.14,19.88,Mobile,South,May
80,158617.7,4192.91,30.5,Headphones,north ,Oct
82,183314.99,3736.06,34.13,Tablet,South,apr
83,104133.65,230.57,-12.78,Headphones,South,MAR
85,65394.58,4585.77,35.39,Tablet,east,June
87,17386.3,4978.25,-10.9,Monitor,east,dec
88,106205.08,2297.95,37.08,Smartwatch,West,jul
90,32336.97,4940.26,18.87,Headphones,West ,May
91,17230.25,448.14,22.34,Smartwatch,east,Oct
92,16185.72,1328.34,-7.11,Laptop,West ,apr
93,90215.85,2759.18,10.7,Tablet,South,jul
95,167796.28,2756.67,27.62,Tablet,West ,February
97,51184.31,2914.07,31.65,Smartwatch,East,jul
98,15053.15,1651.05,27.42,Monitor,West ,MAR
99,146650.88,1860.22,12.38,Monitor,East,NOV
100,38682.28,873.8,-10.01,Monitor, SOUTH,September
101,183618.03,2122.22,-15.07,Monitor,South,dec
103,127191.64,2247.19,15.09,Tablet,South,Jan
106,198493.83,3324.43,32.33,Camera, SOUTH,apr
108,-75859.53,4250.22,35.33,Mobile,East,September
109,22254.26,3710.37,-1.41,Mouse, SOUTH,May
110,135242.72,2945.32,14.57,Tablet,South,Jan
111,-146180.47,2008.05,-2.6,Laptop,West ,Oct
112,159516.98,3877.88,25.24,Headphones,east,dec
113,17020.53,569.55,39.97,Printer,West ,February
114,82888.86,860.15,13.51,Tablet, SOUTH,Oct
115,173451.49,2005.21,39.27,Mouse,North,Oct
117,142644.6,1798.25,15.07,Tablet,North,May
119,127889.22,758.2,35.07,Monitor,West ,February
120,76743.08,1560.1,-2.49,Laptop,West,dec
121,118934.29,1927.63,4.39,Mouse, SOUTH,MAR
123,93508.38,3373.72,37.78,Keyboard,West ,jul
126,107491.62,2288.03,17.53,Camera,South,September
127,93177.39,1713.29,-6.28,Headphones,South,jul
128,99995.84,933.27,15.93,Camera, SOUTH,September
129,84757.48,3643.09,-17.47,Keyboard,West,NOV
130,33497.93,3383.06,19.72,Printer,east,NOV
131,83317.14,4665.32,28.07,Monitor,South,May
133,70207.3,3059.26,0.9,Mouse,North,dec
134,28790.09,1810.54,9.94,Printer, SOUTH,Aug
137,17665.66,4994.91,31.36,Camera,East,dec
138,28166.87,2292.78,-8.28,Smartwatch,East,February
140,39104.28,856.62,-10.52,Camera,North,apr
141,189755.24,1504.3,36.65,Camera,East,September
142,84767.93,4406.46,-8.89,Smartwatch,North,Oct
143,136066.34,902.04,-5.91,Camera,east,February
144,54985.72,246.16,-4.16,Headphones,north ,apr
145,122520.54,3717.63,-13.98,Keyboard, SOUTH,June
146,123412.35,1942.28,-6.32,Keyboard,North,February
147,68179.02,4722.59,20.16,Monitor, SOUTH,Oct
149,183670.99,3093.27,-4.02,Monitor,East,dec
152,114881.44,3164.02,21.19,Headphones,West ,February
153,83009.07,4320.85,39.23,Camera, SOUTH,September
154,56026.93,3407.15,28.8,Monitor,South,Aug
156,130542.86,3821.28,37.83,Smartwatch,North,February
158,179032.69,737.69,12.09,Laptop,West ,June
161,144109.82,1835.82,2.98,Laptop,West ,Aug
165,170023.94,1934.21,38.28,Laptop,North,Oct
167,84655.01,1761.57,15.31,Printer,West ,MAR
168,-93562.99,1102.68,7.24,Mouse,West,May
170,187872.72,447.9,-16.01,Monitor,East,September
171,129372.24,727.01,25.12,Headphones,West,Jan
172,77108.16,4605.43,4.9,Keyboard, SOUTH,apr
173,23906.01,1810.08,35.28,Laptop,North,June
174,152664.39,2809.28,-12.62,Monitor,West ,apr
175,66817.96,1161.81,-3.66,Mobile,north ,February
177,157009.65,3115.83,34.64,Printer,East,February
180,184140.48,1332.04,30.62,Tablet,West ,jul
181,116404.24,1764.59,27.05,Mouse,Central,Jan
182,185434.54,2770.65,19.59,Laptop,North,apr
183,49813.77,3047.94,30.28,Headphones,West,MAR
184,168892.29,846.34,-8.82,Keyboard,South,jul
185,35528.8,506.64,-19.03,Monitor,East,May
186,30572.12,4463.77,-4.93,Keyboard,West,NOV
187,171483.82,235.47,0.98,Printer, SOUTH,June
188,55718.99,3179.16,23.64,Monitor,North,Oct
190,164398.43,4554.47,-6.01,Headphones,West,September
192,-165289.35,4632.51,-10.44,Mouse,West ,September
195,72071.2,2320.18,13.03,Tablet,East,Jan
197,41799.55,3014.28,1.31,Camera,West,apr
199,50414.46,458.78,-15.27,Tablet,West,May
203,88890.42,3907.11,6.16,Smartwatch,east,September
204,67715.78,2495.08,17.91,Headphones,north ,apr
205,78742.26,4501.45,-11.99,Keyboard,North,February
206,139984.31,493.13,10.9,Mobile,north ,apr
207,139910.78,4060.79,-0.25,Monitor,East,MAR
209,166495.32,3507.99,14.23,Headphones,north ,June
211,36014.28,991.25,-8.97,Headphones,West ,February
212,111095.59,677.92,17.96,Smartwatch,East,dec
213,51531.41,4236.33,1.64,Camera,East,September
214,142375.41,3161.8,23.94,Mouse,Central,Oct
215,139035.49,2185.4,-3.81,Laptop,Central,February
216,72667.63,1324.89,37.93,Mouse,north ,June
217,114013.02,336.26,-11.06,Mouse,east,May
218,36972.45,3405.95,36.26,Monitor,north ,February
219,192405.5,3621.8,18.76,Laptop,South,June
221,17304.95,2987.1,19.48,Smartwatch,North,June
222,146962.83,868.47,33.94,Laptop,North,apr
226,177219.72,414.08,-4.05,Camera,West ,Aug
228,122933.49,2100.05,-17.32,Laptop,South,June
229,93588.88,3520.24,-3.89,Monitor, SOUTH,MAR
230,140021.43,3666.62,-5.89,Monitor,east,jul
231,173057.22,3871.63,23.57,Keyboard,West,apr
232,46010.35,4296.76,24.77,Keyboard,east,May
233,146527.54,4227.1,4.18,Printer,north ,jul
234,105433.32,1904.67,-4.68,Camera,North,June
236,-192106.58,2476.48,-14.41,Camera,East,February
237,106848.5,924.6,26.52,Mouse,South,May
238,-45868.64,3426.26,7.9,Keyboard, SOUTH,Oct
241,191006.11,4513.03,-14.61,Laptop, SOUTH,Jan
242,171665.12,3220.46,38.31,Tablet,West ,September
245,149406.68,378.31,-6.2,Mobile, SOUTH,Jan
246,29349.07,467.22,26.03,Mobile,North,February
247,8720.46,3516.41,35.48,Monitor,East,June
248,156551.99,2140.78,20.83,Laptop,Central,Oct
249,84554.47,4666.42,21.41,Camera,north ,Jan
250,30353.73,4212.5,5.77,Mobile,east,Jan
255,84848.97,2700.22,28.07,Headphones,North,Jan
256,181595.86,2434.77,-18.45,Camera,Central,dec
258,119828.73,4407.09,1.77,Keyboard,South,NOV
259,119462.35,1544.44,1.73,Mouse,North,apr
261,20163.12,4358.59,-17.18,Headphones,South,Oct
263,160862.63,1376.73,-4.0,Mouse,North,Aug
265,173967.81,2910.9,7.95,Keyboard,West ,September
266,151156.34,2426.79,8.8,Smartwatch, SOUTH,September
267,117293.4,3275.18,-17.69,Mobile,Central,MAR
268,122359.44,4811.54,36.57,Mouse, SOUTH,June
269,59934.3,3293.85,3.05,Mouse,West,apr
